atm_name,transaction_date,No_Of_Withdrawals,no_of_cub_card_withdrawals,no_of_other_card_withdrawals,total_amount_withdrawn,amount_withdrawn_cub_card,amount_withdrawn_other_card,weekday,working_day
Big Street ATM,26/09/2013,112,42,70,283700,102900,180800,thursday,W
Mount Road ATM,26/09/2013,133,89,44,354200,258700,95500,thursday,W
Airport ATM,26/09/2013,114,91,23,515000,426300,88700,thursday,W
KK Nagar ATM,26/09/2013,230,182,48,1208800,1023500,185300,thursday,W
Christ College ATM,26/09/2013,137,85,52,774200,571100,203100,thursday,W
Big Street ATM,27/09/2013,120,46,74,346900,165700,181200,friday,W
Mount Road ATM,27/09/2013,135,86,49,375400,239400,136000,friday,W
Airport ATM,27/09/2013,105,85,20,345700,275900,69800,friday,W
KK Nagar ATM,27/09/2013,236,185,51,1302100,1060700,241400,friday,W
Christ College ATM,27/09/2013,108,46,62,346200,133200,213000,friday,W
Big Street ATM,28/09/2013,107,48,59,462600,274100,188500,saturday,H
Mount Road ATM,28/09/2013,196,122,74,724600,547700,176900,saturday,H
Airport ATM,28/09/2013,130,101,29,796200,696700,99500,saturday,H
KK Nagar ATM,28/09/2013,256,191,65,923500,732400,191100,saturday,H
Christ College ATM,28/09/2013,109,69,40,773300,611400,161900,saturday,H
Big Street ATM,29/09/2013,151,47,104,536200,213900,322300,sunday,H
Mount Road ATM,29/09/2013,73,32,41,204100,95800,108300,sunday,H
Airport ATM,29/09/2013,133,75,58,489000,367300,121700,sunday,H
KK Nagar ATM,29/09/2013,137,100,37,506200,408100,98100,sunday,H
Christ College ATM,29/09/2013,127,52,75,517200,311700,205500,sunday,H
Big Street ATM,30/09/2013,110,39,71,371000,132200,238800,monday,W
Mount Road ATM,30/09/2013,166,109,57,561500,403400,158100,monday,W
Airport ATM,30/09/2013,127,105,22,742600,668800,73800,monday,W
KK Nagar ATM,30/09/2013,227,178,49,1105500,904800,200700,monday,W
Christ College ATM,30/09/2013,116,68,48,515100,289000,226100,monday,W
Big Street ATM,01/10/2013,106,40,66,391300,150800,240500,tuesday,W
Mount Road ATM,01/10/2013,205,125,80,875100,551200,323900,tuesday,W
Airport ATM,01/10/2013,138,102,36,666700,544600,122100,tuesday,W
KK Nagar ATM,01/10/2013,234,172,62,1212400,946300,266100,tuesday,W
Christ College ATM,01/10/2013,116,55,61,674500,351200,323300,tuesday,W
Big Street ATM,02/10/2013,119,26,93,436500,124300,312200,wednesday,H
Mount Road ATM,02/10/2013,220,67,153,705400,282100,423300,wednesday,H
Airport ATM,02/10/2013,130,86,44,606100,422000,184100,wednesday,H
KK Nagar ATM,02/10/2013,237,153,84,1079600,741400,338200,wednesday,H
Christ College ATM,02/10/2013,172,46,126,868500,341700,526800,wednesday,H
Big Street ATM,03/10/2013,116,29,87,400000,91200,308800,thursday,W
Mount Road ATM,03/10/2013,232,107,125,908900,556600,352300,thursday,W
Airport ATM,03/10/2013,151,112,39,813200,700900,112300,thursday,W
KK Nagar ATM,03/10/2013,315,194,121,1659000,1043300,615700,thursday,W
Christ College ATM,03/10/2013,161,74,87,713600,332400,381200,thursday,W
Big Street ATM,04/10/2013,117,45,72,366400,145100,221300,friday,W
Mount Road ATM,04/10/2013,238,113,125,930400,488700,441700,friday,W
Airport ATM,04/10/2013,150,116,34,723100,595100,128000,friday,W
KK Nagar ATM,04/10/2013,230,175,55,1215500,948300,267200,friday,W
Christ College ATM,04/10/2013,192,66,126,823700,254400,569300,friday,W
Big Street ATM,05/10/2013,128,36,92,395200,126000,269200,saturday,H
Mount Road ATM,05/10/2013,242,114,128,858900,440100,418800,saturday,H
Airport ATM,05/10/2013,173,133,40,954500,772800,181700,saturday,H
KK Nagar ATM,05/10/2013,249,188,61,1285800,1036400,249400,saturday,H
Christ College ATM,05/10/2013,224,73,151,996000,338800,657200,saturday,H
Big Street ATM,06/10/2013,149,32,117,474200,136900,337300,sunday,H
Mount Road ATM,06/10/2013,187,70,117,593800,374700,219100,sunday,H
Airport ATM,06/10/2013,77,55,22,351300,317500,33800,sunday,H
KK Nagar ATM,06/10/2013,136,97,39,645300,479300,166000,sunday,H
Christ College ATM,06/10/2013,135,57,78,526300,218200,308100,sunday,H
Big Street ATM,07/10/2013,119,40,79,366400,156000,210400,monday,W
Mount Road ATM,07/10/2013,194,118,76,865500,604700,260800,monday,W
Airport ATM,07/10/2013,137,100,37,707700,557600,150100,monday,W
KK Nagar ATM,07/10/2013,269,204,65,1338700,1055300,283400,monday,W
Christ College ATM,07/10/2013,195,53,142,864900,260400,604500,monday,W
Big Street ATM,08/10/2013,124,44,80,509600,228400,281200,tuesday,W
Mount Road ATM,08/10/2013,171,89,82,651200,428600,222600,tuesday,W
Airport ATM,08/10/2013,135,95,40,815800,636500,179300,tuesday,W
KK Nagar ATM,08/10/2013,253,185,68,1092700,829600,263100,tuesday,W
Christ College ATM,08/10/2013,132,66,66,538200,274500,263700,tuesday,W
Big Street ATM,09/10/2013,110,44,66,334900,141700,193200,wednesday,W
Mount Road ATM,09/10/2013,195,108,87,553200,339900,213300,wednesday,W
Airport ATM,09/10/2013,140,101,39,582100,438400,143700,wednesday,W
KK Nagar ATM,09/10/2013,261,192,69,1270200,918600,351600,wednesday,W
Christ College ATM,09/10/2013,216,64,152,1035000,409800,625200,wednesday,W
Big Street ATM,10/10/2013,106,42,64,446800,268300,178500,thursday,W
Mount Road ATM,10/10/2013,185,99,86,755500,506600,248900,thursday,W
Airport ATM,10/10/2013,142,105,37,801900,615100,186800,thursday,W
KK Nagar ATM,10/10/2013,220,159,61,1228200,1032200,196000,thursday,W
Christ College ATM,10/10/2013,185,64,121,881300,336100,545200,thursday,W
Big Street ATM,11/10/2013,100,45,55,343900,213600,130300,friday,W
Mount Road ATM,11/10/2013,193,106,87,736000,416400,319600,friday,W
Airport ATM,11/10/2013,133,95,38,618900,486300,132600,friday,W
KK Nagar ATM,11/10/2013,249,190,59,1201200,918200,283000,friday,W
Christ College ATM,11/10/2013,132,61,71,509300,306900,202400,friday,W
Big Street ATM,12/10/2013,136,35,101,451700,140500,311200,saturday,H
Mount Road ATM,12/10/2013,199,89,110,709900,389600,320300,saturday,H
Airport ATM,12/10/2013,158,107,51,725400,553200,172200,saturday,H
KK Nagar ATM,12/10/2013,224,166,58,1105400,844200,261200,saturday,H
Christ College ATM,12/10/2013,120,54,66,489200,253200,236000,saturday,H
Big Street ATM,13/10/2013,158,36,122,488800,200800,288000,sunday,H
Mount Road ATM,13/10/2013,161,39,122,450800,160300,290500,sunday,H
Airport ATM,13/10/2013,98,68,30,354100,280900,73200,sunday,H
KK Nagar ATM,13/10/2013,114,78,36,362700,264700,98000,sunday,H
Christ College ATM,13/10/2013,127,31,96,595600,259400,336200,sunday,H
Big Street ATM,14/10/2013,146,42,104,622400,278900,343500,monday,H
Mount Road ATM,14/10/2013,125,30,95,292400,162000,130400,monday,H
Airport ATM,14/10/2013,110,80,30,602100,514200,87900,monday,H
KK Nagar ATM,14/10/2013,274,169,105,1070600,598800,471800,monday,H
Christ College ATM,14/10/2013,126,34,92,488900,154700,334200,monday,H
Big Street ATM,15/10/2013,125,43,82,456800,221100,235700,tuesday,W
Mount Road ATM,15/10/2013,120,63,57,385500,246100,139400,tuesday,W
Airport ATM,15/10/2013,120,101,19,716100,637600,78500,tuesday,W
KK Nagar ATM,15/10/2013,284,208,76,1323000,1035800,287200,tuesday,W
Christ College ATM,15/10/2013,126,66,60,530300,290700,239600,tuesday,W
Big Street ATM,16/10/2013,80,29,51,234100,129400,104700,wednesday,W
Mount Road ATM,16/10/2013,109,51,58,366600,181500,185100,wednesday,W
Airport ATM,16/10/2013,93,72,21,468800,442600,26200,wednesday,W
KK Nagar ATM,16/10/2013,248,137,111,1218900,750800,468100,wednesday,W
Christ College ATM,16/10/2013,95,31,64,369900,141600,228300,wednesday,W
Big Street ATM,17/10/2013,101,39,62,277900,137100,140800,thursday,W
Mount Road ATM,17/10/2013,134,77,57,471000,301300,169700,thursday,W
Airport ATM,17/10/2013,119,98,21,693900,646100,47800,thursday,W
KK Nagar ATM,17/10/2013,233,183,50,1371800,1140900,230900,thursday,W
Christ College ATM,17/10/2013,109,65,44,567600,466200,101400,thursday,W
Big Street ATM,18/10/2013,128,43,85,456800,191200,265600,friday,W
Mount Road ATM,18/10/2013,174,77,97,601800,389000,212800,friday,W
Airport ATM,18/10/2013,90,76,14,324700,291600,33100,friday,W
KK Nagar ATM,18/10/2013,209,157,52,1014800,783100,231700,friday,W
Christ College ATM,18/10/2013,79,51,28,397200,306800,90400,friday,W
Big Street ATM,19/10/2013,103,36,67,371300,197700,173600,saturday,H
Mount Road ATM,19/10/2013,195,81,114,676500,404900,271600,saturday,H
Airport ATM,19/10/2013,72,62,10,340100,316100,24000,saturday,H
KK Nagar ATM,19/10/2013,214,171,43,993400,850900,142500,saturday,H
Christ College ATM,19/10/2013,120,52,68,568500,296000,272500,saturday,H
Big Street ATM,20/10/2013,132,29,103,367100,71600,295500,sunday,H
Mount Road ATM,20/10/2013,183,37,146,400600,134200,266400,sunday,H
Airport ATM,20/10/2013,88,70,18,412400,359300,53100,sunday,H
KK Nagar ATM,20/10/2013,163,97,66,643500,391200,252300,sunday,H
Christ College ATM,20/10/2013,109,36,73,424800,162800,262000,sunday,H
Big Street ATM,21/10/2013,88,23,65,288000,135400,152600,monday,W
Mount Road ATM,21/10/2013,152,68,84,463100,189500,273600,monday,W
Airport ATM,21/10/2013,103,83,20,415400,393800,21600,monday,W
KK Nagar ATM,21/10/2013,173,131,42,859100,671300,187800,monday,W
Christ College ATM,21/10/2013,117,47,70,562700,294300,268400,monday,W
Big Street ATM,22/10/2013,106,37,69,234100,109300,124800,tuesday,W
Mount Road ATM,22/10/2013,156,81,75,508100,357600,150500,tuesday,W
Airport ATM,22/10/2013,129,78,51,593900,420500,173400,tuesday,W
KK Nagar ATM,22/10/2013,213,173,40,1018600,859200,159400,tuesday,W
Christ College ATM,22/10/2013,155,50,105,611900,258100,353800,tuesday,W
Big Street ATM,23/10/2013,92,34,58,325800,162100,163700,wednesday,W
Mount Road ATM,23/10/2013,171,77,94,616400,334300,282100,wednesday,W
Airport ATM,23/10/2013,122,83,39,526200,401100,125100,wednesday,W
KK Nagar ATM,23/10/2013,204,159,45,844300,650700,193600,wednesday,W
Christ College ATM,23/10/2013,104,47,57,356000,218800,137200,wednesday,W
Big Street ATM,24/10/2013,98,38,60,363400,175900,187500,thursday,W
Mount Road ATM,24/10/2013,213,97,116,929100,516100,413000,thursday,W
Airport ATM,24/10/2013,125,97,28,592200,531900,60300,thursday,W
KK Nagar ATM,24/10/2013,221,162,59,900400,678700,221700,thursday,W
Christ College ATM,24/10/2013,97,46,51,455600,258900,196700,thursday,W
Big Street ATM,25/10/2013,108,34,74,330900,109600,221300,friday,W
Mount Road ATM,25/10/2013,170,78,92,658700,319400,339300,friday,W
Airport ATM,25/10/2013,112,90,22,587200,480400,106800,friday,W
KK Nagar ATM,25/10/2013,215,164,51,959000,761300,197700,friday,W
Christ College ATM,25/10/2013,119,44,75,520800,198900,321900,friday,W
Big Street ATM,26/10/2013,100,27,73,417500,176300,241200,saturday,H
Mount Road ATM,26/10/2013,173,85,88,650400,416500,233900,saturday,H
Airport ATM,26/10/2013,156,119,37,634500,528700,105800,saturday,H
KK Nagar ATM,26/10/2013,268,197,71,1182500,929200,253300,saturday,H
Christ College ATM,26/10/2013,152,53,99,560700,150500,410200,saturday,H
Big Street ATM,27/10/2013,111,30,81,239500,76500,163000,sunday,H
Mount Road ATM,27/10/2013,219,67,152,470800,183300,287500,sunday,H
Airport ATM,27/10/2013,114,91,23,313200,278200,35000,sunday,H
KK Nagar ATM,27/10/2013,262,190,72,980200,720100,260100,sunday,H
Christ College ATM,27/10/2013,133,34,99,389700,135500,254200,sunday,H
Big Street ATM,28/10/2013,105,42,63,272600,95300,177300,monday,W
Mount Road ATM,28/10/2013,188,101,87,891700,690700,201000,monday,W
Airport ATM,28/10/2013,141,107,34,646500,500000,146500,monday,W
KK Nagar ATM,28/10/2013,274,229,45,1331100,1178200,152900,monday,W
Christ College ATM,28/10/2013,111,62,49,471000,344300,126700,monday,W
Big Street ATM,29/10/2013,124,47,77,540600,341300,199300,tuesday,W
Mount Road ATM,29/10/2013,187,99,88,651200,462500,188700,tuesday,W
Airport ATM,29/10/2013,163,133,30,737100,606200,130900,tuesday,W
KK Nagar ATM,29/10/2013,260,202,58,1104900,879000,225900,tuesday,W
Christ College ATM,29/10/2013,155,68,87,772300,377000,395300,tuesday,W
Big Street ATM,30/10/2013,108,39,69,381000,155200,225800,wednesday,W
Mount Road ATM,30/10/2013,197,111,86,631300,423500,207800,wednesday,W
Airport ATM,30/10/2013,162,134,28,863000,737700,125300,wednesday,W
KK Nagar ATM,30/10/2013,381,299,82,1598700,1264500,334200,wednesday,W
Christ College ATM,30/10/2013,235,80,155,1096400,415400,681000,wednesday,W
Big Street ATM,31/10/2013,118,47,71,495100,229300,265800,thursday,W
Mount Road ATM,31/10/2013,194,104,90,715500,441400,274100,thursday,W
Airport ATM,31/10/2013,150,120,30,761000,642800,118200,thursday,W
KK Nagar ATM,31/10/2013,348,259,89,1432500,1081200,351300,thursday,W
Christ College ATM,31/10/2013,192,92,100,912000,471600,440400,thursday,W
Big Street ATM,01/11/2013,133,50,83,572700,262900,309800,friday,W
Mount Road ATM,01/11/2013,204,110,94,789300,451200,338100,friday,W
Airport ATM,01/11/2013,144,115,29,528900,428500,100400,friday,W
KK Nagar ATM,01/11/2013,408,274,134,1418000,984900,433100,friday,W
Christ College ATM,01/11/2013,167,72,95,820600,369500,451100,friday,W
Big Street ATM,02/11/2013,150,38,112,449800,120000,329800,saturday,H
Mount Road ATM,02/11/2013,79,21,58,233000,81900,151100,saturday,H
Airport ATM,02/11/2013,68,35,33,297400,189100,108300,saturday,H
KK Nagar ATM,02/11/2013,144,84,60,302300,157800,144500,saturday,H
Christ College ATM,02/11/2013,70,18,52,349900,73600,276300,saturday,H
Big Street ATM,03/11/2013,121,26,95,387200,112500,274700,sunday,H
Mount Road ATM,03/11/2013,45,24,21,158000,107700,50300,sunday,H
Airport ATM,03/11/2013,100,74,26,562800,445200,117600,sunday,H
KK Nagar ATM,03/11/2013,146,77,69,668800,339400,329400,sunday,H
Christ College ATM,03/11/2013,53,18,35,191400,86900,104500,sunday,H
Big Street ATM,04/11/2013,92,23,69,220900,49400,171500,monday,W
Mount Road ATM,04/11/2013,161,106,55,845400,649300,196100,monday,W
Airport ATM,04/11/2013,160,127,33,870400,743500,126900,monday,W
KK Nagar ATM,04/11/2013,250,173,77,1363500,1018100,345400,monday,W
Christ College ATM,04/11/2013,169,66,103,914500,342500,572000,monday,W
Big Street ATM,05/11/2013,98,43,55,273500,143700,129800,tuesday,H
Mount Road ATM,05/11/2013,165,85,80,879100,548700,330400,tuesday,H
Airport ATM,05/11/2013,143,108,35,894500,682700,211800,tuesday,H
KK Nagar ATM,05/11/2013,221,152,69,1246800,895700,351100,tuesday,H
Christ College ATM,05/11/2013,184,76,108,834500,376800,457700,tuesday,H
Big Street ATM,06/11/2013,104,26,78,375900,161200,214700,wednesday,W
Mount Road ATM,06/11/2013,178,78,100,646400,324400,322000,wednesday,W
Airport ATM,06/11/2013,146,111,35,953900,822200,131700,wednesday,W
KK Nagar ATM,06/11/2013,353,251,102,1892400,1488300,404100,wednesday,W
Christ College ATM,06/11/2013,146,54,92,724400,295300,429100,wednesday,W
Big Street ATM,07/11/2013,116,31,85,426000,129000,297000,thursday,W
Mount Road ATM,07/11/2013,182,90,92,840500,511500,329000,thursday,W
Airport ATM,07/11/2013,137,105,32,693400,595900,97500,thursday,W
KK Nagar ATM,07/11/2013,243,162,81,1132900,809000,323900,thursday,W
Christ College ATM,07/11/2013,152,53,99,686800,267300,419500,thursday,W
Big Street ATM,08/11/2013,110,40,70,361100,178500,182600,friday,W
Mount Road ATM,08/11/2013,172,81,91,707200,422100,285100,friday,W
Airport ATM,08/11/2013,117,87,30,562800,460400,102400,friday,W
KK Nagar ATM,08/11/2013,217,164,53,1059800,813700,246100,friday,W
Christ College ATM,08/11/2013,127,53,74,664500,292300,372200,friday,W
Big Street ATM,09/11/2013,95,35,60,326500,186500,140000,saturday,H
Mount Road ATM,09/11/2013,189,88,101,755900,465400,290500,saturday,H
Airport ATM,09/11/2013,148,105,43,907800,730100,177700,saturday,H
KK Nagar ATM,09/11/2013,250,174,76,1273100,941100,332000,saturday,H
Christ College ATM,09/11/2013,191,57,134,956500,426100,530400,saturday,H
Big Street ATM,10/11/2013,113,23,90,361600,102400,259200,sunday,H
Mount Road ATM,10/11/2013,119,37,82,350300,146300,204000,sunday,H
Airport ATM,10/11/2013,109,86,23,509100,441000,68100,sunday,H
KK Nagar ATM,10/11/2013,102,66,36,385600,268700,116900,sunday,H
Christ College ATM,10/11/2013,164,44,120,709000,273700,435300,sunday,H
Big Street ATM,11/11/2013,101,31,70,273800,113000,160800,monday,W
Mount Road ATM,11/11/2013,185,88,97,811200,587000,224200,monday,W
Airport ATM,11/11/2013,118,78,40,612800,466000,146800,monday,W
KK Nagar ATM,11/11/2013,277,187,90,1367500,954400,413100,monday,W
Christ College ATM,11/11/2013,245,58,187,899900,231300,668600,monday,W
Big Street ATM,12/11/2013,100,28,72,343200,72000,271200,tuesday,W
Mount Road ATM,12/11/2013,176,89,87,887400,626200,261200,tuesday,W
Airport ATM,12/11/2013,114,77,37,558700,424300,134400,tuesday,W
KK Nagar ATM,12/11/2013,255,176,79,1208000,891500,316500,tuesday,W
Christ College ATM,12/11/2013,145,55,90,666700,334500,332200,tuesday,W
Big Street ATM,13/11/2013,107,34,73,487300,284400,202900,wednesday,W
Mount Road ATM,13/11/2013,79,35,44,285600,148000,137600,wednesday,W
Airport ATM,13/11/2013,125,90,35,512600,422600,90000,wednesday,W
KK Nagar ATM,13/11/2013,236,182,54,1060400,843000,217400,wednesday,W
Christ College ATM,13/11/2013,142,49,93,548600,260100,288500,wednesday,W
Big Street ATM,14/11/2013,115,28,87,353300,108800,244500,thursday,W
Mount Road ATM,14/11/2013,185,87,98,806900,514500,292400,thursday,W
Airport ATM,14/11/2013,116,87,29,553100,505600,47500,thursday,W
KK Nagar ATM,14/11/2013,233,142,91,1051100,689600,361500,thursday,W
Christ College ATM,14/11/2013,160,46,114,610100,210100,400000,thursday,W
Big Street ATM,15/11/2013,127,39,88,491200,293200,198000,friday,W
Mount Road ATM,15/11/2013,120,50,70,325200,168800,156400,friday,W
Airport ATM,15/11/2013,40,28,12,209200,152400,56800,friday,W
KK Nagar ATM,15/11/2013,193,116,77,699200,340500,358700,friday,W
Christ College ATM,15/11/2013,163,46,117,756800,294100,462700,friday,W
Big Street ATM,16/11/2013,133,43,90,468600,233400,235200,saturday,H
Mount Road ATM,16/11/2013,145,60,85,499400,279000,220400,saturday,H
Airport ATM,16/11/2013,48,28,20,214000,164900,49100,saturday,H
KK Nagar ATM,16/11/2013,140,88,52,585300,367500,217800,saturday,H
Christ College ATM,16/11/2013,118,41,77,572800,265700,307100,saturday,H
Big Street ATM,17/11/2013,116,33,83,394700,176900,217800,sunday,H
Mount Road ATM,17/11/2013,114,27,87,260600,78900,181700,sunday,H
Airport ATM,17/11/2013,78,50,28,263200,177700,85500,sunday,H
KK Nagar ATM,17/11/2013,122,80,42,496800,339200,157600,sunday,H
Christ College ATM,17/11/2013,212,37,175,694200,139200,555000,sunday,H
Big Street ATM,18/11/2013,93,38,55,313800,200500,113300,monday,W
Mount Road ATM,18/11/2013,194,92,102,712000,433200,278800,monday,W
Airport ATM,18/11/2013,110,92,18,592300,493800,98500,monday,W
KK Nagar ATM,18/11/2013,205,152,53,901700,703900,197800,monday,W
Christ College ATM,18/11/2013,142,50,92,406300,142700,263600,monday,W
Big Street ATM,19/11/2013,97,45,52,329400,201900,127500,tuesday,W
Mount Road ATM,19/11/2013,180,107,73,775300,620800,154500,tuesday,W
Airport ATM,19/11/2013,112,87,25,526200,442700,83500,tuesday,W
KK Nagar ATM,19/11/2013,235,186,49,1140400,957300,183100,tuesday,W
Christ College ATM,19/11/2013,119,52,67,464600,171900,292700,tuesday,W
Big Street ATM,20/11/2013,91,19,72,267600,47800,219800,wednesday,W
Mount Road ATM,20/11/2013,140,78,62,492400,304800,187600,wednesday,W
Airport ATM,20/11/2013,106,80,26,564400,424200,140200,wednesday,W
KK Nagar ATM,20/11/2013,217,161,56,955300,774900,180400,wednesday,W
Christ College ATM,20/11/2013,163,53,110,652800,251000,401800,wednesday,W
Big Street ATM,21/11/2013,116,36,80,379700,190900,188800,thursday,W
Mount Road ATM,21/11/2013,179,76,103,621700,402000,219700,thursday,W
Airport ATM,21/11/2013,127,95,32,719000,605300,113700,thursday,W
KK Nagar ATM,21/11/2013,238,163,75,914600,629400,285200,thursday,W
Christ College ATM,21/11/2013,183,45,138,562400,139500,422900,thursday,W
Big Street ATM,22/11/2013,117,31,86,358100,178600,179500,friday,W
Mount Road ATM,22/11/2013,152,76,76,652700,428300,224400,friday,W
Airport ATM,22/11/2013,109,77,32,489300,388800,100500,friday,W
KK Nagar ATM,22/11/2013,219,163,56,832700,677300,155400,friday,W
Christ College ATM,22/11/2013,139,46,93,473300,154600,318700,friday,W
Big Street ATM,23/11/2013,118,49,69,408600,236200,172400,saturday,H
Mount Road ATM,23/11/2013,145,63,82,460500,276000,184500,saturday,H
Airport ATM,23/11/2013,130,99,31,584000,489900,94100,saturday,H
KK Nagar ATM,23/11/2013,214,165,49,915000,737300,177700,saturday,H
Christ College ATM,23/11/2013,176,65,111,728600,380200,348400,saturday,H
Big Street ATM,24/11/2013,71,25,46,191100,96500,94600,sunday,H
Mount Road ATM,24/11/2013,84,23,61,165100,42800,122300,sunday,H
Airport ATM,24/11/2013,70,44,26,252300,183300,69000,sunday,H
KK Nagar ATM,24/11/2013,70,44,26,239700,176900,62800,sunday,H
Christ College ATM,24/11/2013,124,31,93,416000,94300,321700,sunday,H
Big Street ATM,25/11/2013,119,42,77,411300,230000,181300,monday,W
Mount Road ATM,25/11/2013,144,81,63,444300,349500,94800,monday,W
Airport ATM,25/11/2013,111,82,29,499900,412500,87400,monday,W
KK Nagar ATM,25/11/2013,206,167,39,780600,662900,117700,monday,W
Christ College ATM,25/11/2013,212,60,152,793400,253400,540000,monday,W
Big Street ATM,26/11/2013,131,58,73,431100,274300,156800,tuesday,W
Mount Road ATM,26/11/2013,137,77,60,512600,429000,83600,tuesday,W
Airport ATM,26/11/2013,113,82,31,391500,338800,52700,tuesday,W
KK Nagar ATM,26/11/2013,199,160,39,722200,581600,140600,tuesday,W
Christ College ATM,26/11/2013,161,44,117,547200,162400,384800,tuesday,W
Big Street ATM,27/11/2013,79,26,53,219700,97100,122600,wednesday,W
Mount Road ATM,27/11/2013,138,81,57,510600,396600,114000,wednesday,W
Airport ATM,27/11/2013,67,49,18,334300,264800,69500,wednesday,W
KK Nagar ATM,27/11/2013,214,163,51,974900,809100,165800,wednesday,W
Christ College ATM,27/11/2013,169,64,105,651300,363000,288300,wednesday,W
Big Street ATM,28/11/2013,114,44,70,450400,226500,223900,thursday,W
Mount Road ATM,28/11/2013,142,64,78,433800,238800,195000,thursday,W
Airport ATM,28/11/2013,105,80,25,518600,460400,58200,thursday,W
KK Nagar ATM,28/11/2013,237,178,59,1013700,760600,253100,thursday,W
Christ College ATM,28/11/2013,164,64,100,769600,448500,321100,thursday,W
Big Street ATM,29/11/2013,124,38,86,430600,175000,255600,friday,W
Mount Road ATM,29/11/2013,162,84,78,850600,574500,276100,friday,W
Airport ATM,29/11/2013,112,76,36,565800,366600,199200,friday,W
KK Nagar ATM,29/11/2013,289,219,70,1118300,881800,236500,friday,W
Christ College ATM,29/11/2013,173,51,122,638900,247400,391500,friday,W
Big Street ATM,30/11/2013,85,35,50,290800,113700,177100,saturday,H
Mount Road ATM,30/11/2013,200,100,100,756400,445500,310900,saturday,H
Airport ATM,30/11/2013,51,41,10,326300,280500,45800,saturday,H
KK Nagar ATM,30/11/2013,273,211,62,1150600,895700,254900,saturday,H
Christ College ATM,30/11/2013,171,77,94,787400,387800,399600,saturday,H
Big Street ATM,01/12/2013,119,37,82,358500,132200,226300,sunday,H
Mount Road ATM,01/12/2013,128,42,86,419400,206900,212500,sunday,H
Airport ATM,01/12/2013,127,101,26,648300,565100,83200,sunday,H
KK Nagar ATM,01/12/2013,138,101,37,569300,409200,160100,sunday,H
Christ College ATM,01/12/2013,211,51,160,800100,170000,630100,sunday,H
Big Street ATM,02/12/2013,114,39,75,443800,211100,232700,monday,W
Mount Road ATM,02/12/2013,162,105,57,653500,485000,168500,monday,W
Airport ATM,02/12/2013,133,95,38,658000,497600,160400,monday,W
KK Nagar ATM,02/12/2013,226,188,38,1303300,1135400,167900,monday,W
Christ College ATM,02/12/2013,200,65,135,898300,292300,606000,monday,W
Big Street ATM,03/12/2013,107,42,65,484600,247600,237000,tuesday,W
Mount Road ATM,03/12/2013,202,99,103,869800,533800,336000,tuesday,W
Airport ATM,03/12/2013,150,115,35,826700,669800,156900,tuesday,W
KK Nagar ATM,03/12/2013,240,181,59,1161000,894000,267000,tuesday,W
Christ College ATM,03/12/2013,222,76,146,1044200,403000,641200,tuesday,W
Big Street ATM,04/12/2013,121,39,82,479500,204600,274900,wednesday,W
Mount Road ATM,04/12/2013,240,106,134,893400,515000,378400,wednesday,W
Airport ATM,04/12/2013,122,88,34,614500,472400,142100,wednesday,W
KK Nagar ATM,04/12/2013,253,182,71,1705700,1378600,327100,wednesday,W
Christ College ATM,04/12/2013,208,86,122,1050900,522200,528700,wednesday,W
Big Street ATM,05/12/2013,117,45,72,451200,221900,229300,thursday,W
Mount Road ATM,05/12/2013,202,98,104,910300,626700,283600,thursday,W
Airport ATM,05/12/2013,143,104,39,794600,628700,165900,thursday,W
KK Nagar ATM,05/12/2013,274,182,92,1434400,950100,484300,thursday,W
Christ College ATM,05/12/2013,186,66,120,855200,324400,530800,thursday,W
Big Street ATM,06/12/2013,127,50,77,585200,293400,291800,friday,W
Mount Road ATM,06/12/2013,200,99,101,775300,412100,363200,friday,W
Airport ATM,06/12/2013,46,26,20,234500,135600,98900,friday,W
KK Nagar ATM,06/12/2013,252,179,73,1201900,896800,305100,friday,W
Christ College ATM,06/12/2013,151,40,111,508000,114600,393400,friday,W
Big Street ATM,07/12/2013,121,45,76,479600,244700,234900,saturday,H
Mount Road ATM,07/12/2013,185,79,106,761800,438300,323500,saturday,H
Airport ATM,07/12/2013,128,95,33,570800,408900,161900,saturday,H
KK Nagar ATM,07/12/2013,266,213,53,1209300,1033200,176100,saturday,H
Christ College ATM,07/12/2013,148,70,78,683600,430000,253600,saturday,H
Big Street ATM,08/12/2013,106,33,73,321300,129700,191600,sunday,H
Mount Road ATM,08/12/2013,146,52,94,473200,252400,220800,sunday,H
Airport ATM,08/12/2013,102,72,30,401800,317900,83900,sunday,H
KK Nagar ATM,08/12/2013,148,118,30,622300,514600,107700,sunday,H
Christ College ATM,08/12/2013,94,36,58,320700,156600,164100,sunday,H
Big Street ATM,09/12/2013,98,39,59,377700,210300,167400,monday,W
Mount Road ATM,09/12/2013,203,105,98,883100,562500,320600,monday,W
Airport ATM,09/12/2013,135,107,28,762500,658900,103600,monday,W
KK Nagar ATM,09/12/2013,236,185,51,1134800,934700,200100,monday,W
Christ College ATM,09/12/2013,125,63,62,734900,452600,282300,monday,W
Big Street ATM,10/12/2013,101,40,61,308800,151900,156900,tuesday,W
Mount Road ATM,10/12/2013,176,91,85,631400,376500,254900,tuesday,W
Airport ATM,10/12/2013,116,82,34,440800,333600,107200,tuesday,W
KK Nagar ATM,10/12/2013,240,197,43,1217700,1048000,169700,tuesday,W
Christ College ATM,10/12/2013,130,48,82,452600,215900,236700,tuesday,W
